Ticker,Name
KOTAKBANK,Kotak Bank
HDFCBANK,HDFC Bank
BHARTIARTL,Airtel
EICHERMOT,Eicher Motors
MARUTI,Maruti Suzuki
AXISBANK,Axis Bank
SBILIFE,SBI Life
NESTLEIND,Nestle India
BAJAJFINSV,Bajaj Finserv
BAJAJ-AUTO,Bajaj Auto
BAJFINANCE,Bajaj Finance
HDFC,Housing Finance Development Corporation 
ITC,ITC
HEROMOTOCO,Hero Motor 
M&M,Mahindra & Mahindra
BRITANNIA,Britannia
HCLTECH,HCL Technologies
CIPLA,Cipla
LT,Larsen & Toubro L&T LnT
TATACONSUM,Tata Consumer Products
TECHM,Tech Mahindra
INDUSINDBK,Indusind Bank
TITAN,Titan
POWERGRID,Power Grid Corporation of India
ULTRACEMCO,Ultratech Cement
SHREECEM,Shree Cement
GRASIM,Grasim Industries
IOC,Indian Oil Corporation Limited IOCL
NTPC,NTPC
WIPRO,Wipro
JSWSTEEL,JSW Steel JSWS
INFY,Infosys
ONGC,Oil and Natural Gas Corporation
ICICIBANK,ICICI Bank
ADANIPORTS,Adani Ports
DIVISLAB,Divis Lab Diviâ€™s Lab
BPCL,Bharat Petroleum BCPL
ASIANPAINT,Asian Paints
DRREDDY,Dr. Reddy Dr Reddy
HINDUNILVR,Hindustan Unilever HUL
TATAMOTORS,Tata Motors
HDFCLIFE,HDFC Life
SUNPHARMA,Sun Pharma
RELIANCE,Reliance Industries
UPL,UPL
TCS,Tata Consultancy Services
HINDALCO,Hindalco Industries
SBIN,State Bank of India SBI
COALINDIA,Coal India
TATASTEEL,Tata Steel
AMZN,Amazon